title,description,identifier,licence,keywords,issued,modified,publisher.name,publisher.mbox,contactPoint.fn,contactPoint.hasPhone,contactPoint.hasEmail,landingPage,updateFrequency,theme,temporal,spatial,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.0.title,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.1.title,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.2.title,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.3.title,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.4.title
Number of people convicted under the Tax Administration Act,The number of people convicted under the Tax Administration Act 1994 in each calendar year. A person may have more than one prosecution in each year.,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/convictions-under-tax-act/,https://creativecommons.org/licenses/by/4.0/,"audit, individuals, litigation, penalties, prosecution",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/convictions-under-tax-act/,Annual,Audit,03-2007/03-2016,,https://www.classic.ird.govt.nz/resources/c/0/c012cea0-865d-456a-aee4-779ebdeb4dd2/11.7no-people-convicted.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/3/c/3ca1048c-e68e-409c-a546-f16556a87725/11.7no-people-convicted.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Number of tax agents by geographic area,The number of tax agents in a given geographic loction. A tax agent is a person who prepares the annual returns of income for ten or more taxpayers.,https://www.ird.govt.nz/aboutir/external-stats/tax-agents/agents-by-geo-area/,https://creativecommons.org/licenses/by/4.0/,"customer, registration, tax agents",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/tax-agents/agents-by-geo-area/,Annual,Customer,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/2/f/2f540aa6-25cd-4556-8b9f-96eca58d0041/agents-by-location.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/0/c/0cd160e2-75b7-4589-8365-2869870b1371/agents-by-location.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Number of tax convictions,The total number of tax convictions under the Tax Administration Act 1994 in each calendar year.,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/tax-convictions/,https://creativecommons.org/licenses/by/4.0/,"audit, individuals, litigation, penalties, prosecution",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/tax-convictions/,Annual,Audit,03-2007/03-2016,,https://www.classic.ird.govt.nz/resources/1/5/15e868fb-ea8c-4c13-ac74-ab9199d5ade8/11.6no-convictions.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/a/1/a11e8cec-bf21-489a-a2d7-e76ef38592d1/11.6no-convictions.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Outcome of cases decided by Disputes Review Unit,The outcomes of adjudication cases decided by the Disputes Review Unit. All cases are split into five categories depending on the degree to which the position of the Commissioner of Inland Revenue (CIR) was upheld.,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/disputes-review-unit/outcome-of-cases-disputes-review.html,https://creativecommons.org/licenses/by/4.0/,"assessment, audit, clubsociety, company, diplomatic mission, government department, individuals, litigation, maori authority, partnership, payments and refunds, penalties, prosecution, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/disputes-review-unit/outcome-of-cases-disputes-review.html,Annual,Audit,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/0/1/01300f3d-2f76-44d7-803f-7aef81e9c1e2/Adj+decn+stats+-+2008-2017_csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/3/5/35b302cd-928c-4027-90c6-2f4e54b3d4b5/Adj+decn+stats+-+2008-2017.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,
Overdue debt by debt age,The dynamics of overdue debt case age from the 2008 to 2017 financial years. It covers both overdue tax debt and overdue child support debt. The debt age structure is presented both for dollar values and debt cases. The age of each debt case is weighted based on weighted overdue debt case age.,https://www.ird.govt.nz/aboutir/external-stats/debt/overdue-debt-by-debt-age/,https://creativecommons.org/licenses/by/4.0/,"child support, clubsociety, company, diplomatic mission, duties, fringe benefit tax, goods and services tax, income tax, individuals, maori authority, partnership, paye, payment and refunds, student loans, super fund, trustestate, unit trust, withholding tax",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/debt/overdue-debt-by-debt-age/,Annual,"PAYE, Income Tax, Withholding Tax, Child Support, Student Loans, Goods and Services Tax, Duties, Fringe Benefit Tax",06-2008/06-2017,,https://www.classic.ird.govt.nz/resources/6/d/6db51d6d-cce2-4b93-b173-34a009743df6/7.3-+Overdue-debt-age-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/b/f/bff9c528-5dc9-44ce-bede-43585fc1c024/7.3+-+overdue-debt-age-excel.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Overdue debt by debt value bands,The composition of overdue tax debt and overdue child support debt by dollar value bands. The Analysis is presented for both the value of debt and the proportion of debt cases.,https://www.ird.govt.nz/aboutir/external-stats/debt/overdue-debt-by-value-bands/,https://creativecommons.org/licenses/by/4.0/,"child support, clubsociety, company, diplomatic mission, duties, fringe benefit tax, goods and services tax, income tax, individuals, maori authority, partnership, paye, payment and refunds, student loans, super fund, trustestate, unit trust, withholding tax",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/debt/overdue-debt-by-value-bands/,Annual,"PAYE, Income Tax, Withholding Tax, Child Support, Student Loans, Goods and Services Tax, Duties, Fringe Benefit Tax",06-2008/06-2017,,https://www.classic.ird.govt.nz/resources/9/2/92385a96-a8e9-47d7-9e42-7433a6983fdf/7.4+-+overdue+-debt-value-bands-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/2/c/2c2a288e-a4fc-4e9c-b9b7-d2408633e60e/7.4-+overdue-debt-value-bands-excel.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Overdue debt by tax type,"The structure of the total overdue debt for various different tax types for the financial years from 2008 to 2017. (child support debt, student loan debt, tax debt, working for families tax credits debt)",https://www.ird.govt.nz/aboutir/external-stats/debt/overdue-debt-tax-type/,https://creativecommons.org/licenses/by/4.0/,"child support, clubsociety, company, diplomatic mission, duties, fringe benefit tax, goods and services tax, income tax, individuals, maori authority, partnership, paye, payment and refunds, student loans, super fund, trustestate, unit trust, withholding tax",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/debt/overdue-debt-tax-type/,Annual,"PAYE, Income Tax, Withholding Tax, Child Support, Student Loans, Goods and Services Tax, Duties, Fringe Benefit Tax",03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/d/a/da0045fa-d727-41fa-b5b1-b03a37eba54d/7.2-overdue-debt-tax-type-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/e/8/e86e760b-5052-4286-9d06-d3d474eca5ce/7.2+-+overdue-debt-tax-type-excel.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Overdue debt data,Overdue tax debt statistics including overdue child support deblt and the number of customers in debt.,https://www.ird.govt.nz/aboutir/external-stats/debt/total-overdue-debt/,https://creativecommons.org/licenses/by/4.0/,"child support, clubsociety, company, diplomatic mission, duties, fringe benefit tax, goods and services tax, income tax, individuals, maori authority, partnership, paye, payment and refunds, student loans, super fund, trustestate, unit trust, withholding tax",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/debt/total-overdue-debt/,Annual,"PAYE, Income Tax, Withholding Tax, Child Support, Student Loans, Goods and Services Tax, Duties, Fringe Benefit Tax",06-2008/06-2017,,https://www.classic.ird.govt.nz/resources/4/c/4cc7d1a6-2513-4099-8223-60ef2b46afe1/7.1+-+total_overdue_debt_csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/b/a/ba6f1502-0700-4cfa-b160-e4616baba62f/7.1+-+total-overdue-debt-excel.xlsx,XLSX,,Total overdue debt,,,,,,,,,,,,
Payments to scheme providers by category 2010-2019,Statistics relating to the annual payments to providers by category,https://www.kiwisaver.govt.nz/statistics/annual/contributions/,https://creativecommons.org/licenses/by/4.0/,"annual payments, category, providers, year",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/contributions/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Percentage of child support payments made by liable parents in full and on time,The percentage of payments made by liable parents in full and on time.,https://www.ird.govt.nz/aboutir/external-stats/compliance/cs-payments-made-on-time/,https://creativecommons.org/licenses/by/4.0/,"child support, individuals, payments and refunds",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/compliance/cs-payments-made-on-time/,Annual,Child Support,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/6/6/66b36a5f-6c3f-4f1d-8881-81952d55992a/payments-full-on-time-liable-parents-17-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/9/5/95fe07f5-e989-41cf-a848-ba048c9a478e/payments-full-on-time-liable-parents-17-excel.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Percentage of payments made on time,The percentage of on time payments for the major tax types.,https://www.ird.govt.nz/aboutir/external-stats/compliance/payments-made-on-time/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, diplomatic mission, goods  services tax, income tax, individuals, maori authority, partnership, paye, payments and refunds, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/compliance/payments-made-on-time/,Annual,"Goods & Services Tax, PAYE, Income Tax",03-2007/03-2016,,https://www.classic.ird.govt.nz/resources/b/a/ba916122-a305-4f0e-996a-58809748bffb/percentage-payments-on-time-17-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/8/f/8f4ef787-285f-49a3-aeee-8cf5d7961485/percentage-payments-on-time-17-excel.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Percentage of returns filed on time,The ratio of returns filed on time to the total number of filing per tax year. The ratio is presented separately for tax types and customer groups.,https://www.ird.govt.nz/aboutir/external-stats/compliance/returns-filed-on-time/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, diplomatic mission, filing, goods  services tax, income tax, individuals, maori authority, partnership, paye, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/compliance/returns-filed-on-time/,Annual,"Goods & Services Tax, PAYE, Income Tax",03-2007/03-2016,,https://www.classic.ird.govt.nz/resources/0/8/0890c5c2-3d0a-429e-817f-3956aa97a5ea/9.2+-+returns-filed-on-time-excel-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/a/6/a65e3b8d-ea1b-4a12-9ed6-8feffbcb1704/9.2-+returns-filed-on-time-excel.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Regional break-down by tax type,"Regional break-downs for variables such as overall sales and income and debt values, broken down by tax type",https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"area outside regional councils, auckland, bay of plenty, canterbury, debt, far north, gisborne, gst debt, hawkes bay, inc debt, manawatuwanganui, marlborough, nelson, northland, otago, overall total sales  income, regional council, southland, taranaki, tasman, territorial authorities, unknown location, waikato, wellington, west coast",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/8/e/8e4392bf-0ce8-4e5c-bd60-2694acf764eb/values.csv,CSV,,Data in CSV format,,,,,,,,,,,,,,,,
Regional tax statistics 2016,"Included are categories for individuals and non-individual entities. The tables present the data as percentages of appropriate columns in the ""Customers"" table, Regional tax statistics, 'all customers', 'values', 'individuals', 'business individuals', 'non-business individuals', 'entities', 'businesses'",https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"child support, clubsociety, company, customer, diplomatic mission, fringe benefit tax, goods  services tax, government department, imputation taxes, income tax, individuals, maori authority, partnership, paye, payments and refunds, registration, student loans, super fund, trustestate, unit trust, withholding tax, working for families tax credits",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/2/0/20e0792e-d7c5-479e-9de5-bf8b281763ad/regional-tax-stats-2016.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,,,,,
Registered customers by entity type,"Includes all customers registered with Inland Revenue, either individuals or entities.",https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-entity-type/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, government department, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-entity-type/,Annual,Customer,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/e/0/e01efc7d-280e-4636-9f54-d60e644dc255/2.1+-+reg-cust-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/d/b/db702210-6d1b-4f3a-b34d-87a98d9db693/2.1-reg-cust-by-entity-type.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Registered customers by geographic areas,"Includes all customers registered with Inland Revenue, either individuals or entities. Geographic area is determined by proximity to district office.",https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-geo-area/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, government department, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-geo-area/,Annual,Customer,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/9/e/9e33245c-2f93-46e3-ae8f-6811a3fc5ec3/reg-customers-geo-area-17-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/5/0/502bda16-efb5-486b-8214-e4b3224fd90b/reg-customers-geo-area-17-excel.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Registered customers by group,"Registered customer groups shown here are, non-profit organisations, large enterprises, individuals and small and medium enterprises.",https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-customer-group/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, customer, diplomatic mission, government department, individuals, maori authority, partnership, registration, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/customers/reg-by-customer-group/,Annual,Customer,03-2008/03-2017,,https://www.classic.ird.govt.nz/resources/c/f/cfee5c35-4cb8-4748-9081-8b2d4136b2b5/registered-customer-group.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/b/3/b38c49df-e055-4195-a325-317d61fa256f/registered-customer-group.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Returns filed & processed,The number of returns filed and processed during the tax year regardless of their return period.,https://www.ird.govt.nz/aboutir/external-stats/tax-returns/returns-filed/,https://creativecommons.org/licenses/by/4.0/,"company, filing, fringe benefit tax, goods and services tax, income tax, individuals, paye, trustestate",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/tax-returns/returns-filed/,Annual,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, PAYE",03-2007/03-2017,,https://www.classic.ird.govt.nz/resources/6/e/6e9cd921-2834-4532-b74d-e6278c821e2d/returns_filed-csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/d/5/d52bffeb-8638-480f-92e5-08ed453188d7/returns-filed.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Revenue collected,Revenue collected on an acruals basis between 2008 and 2017 by Inland Revenue.,https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/revenue-collected/,https://creativecommons.org/licenses/by/4.0/,"clubsociety, company, diplomatic mission, fringe benefit tax, goods and services tax, government department, imputation taxes, income tax, individuals, maori authority, partnership, payments and refunds, super fund, trustestate, unit trust, withholding tax",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.ird.govt.nz/aboutir/external-stats/revenue-refunds/revenue-collected/,Annual,"Income Tax, Goods and Services Tax, Fringe Benefit Tax, Withholding Tax, Imputation taxes",06-2008/06-2017,,https://www.classic.ird.govt.nz/resources/d/2/d2f153f0-97f2-4e7d-acae-249a64e6348e/revcol+csv.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/9/b/9b027f2c-8b0a-4975-9bcf-3100a32ec58f/rev+collected.xlsx,XLSX,,Data in EXCEL format,,,,,,,,,,,,
Scheme entry method by year 2010-2019,"Statistics relating to the number of active or provisional KiwiSaver members at the end of each financial year,  by their current scheme entry method",https://www.kiwisaver.govt.nz/statistics/annual/schemes/,https://creativecommons.org/licenses/by/4.0/,"scheme entry method, year",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/schemes/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Scheme Transfers 2010-2019,Statistics relating to the number of scheme transfers during financial year,https://www.kiwisaver.govt.nz/statistics/annual/schemes/,https://creativecommons.org/licenses/by/4.0/,"financial year, number, scheme transfers",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.kiwisaver.govt.nz/statistics/annual/schemes/,Annual,Social Policy,2010/06-06-2019,,https://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Shortfall penalty impositions,"The number and value of shortfall penalties in total and by category. A shortfall penalty (SFP) is one imposed as a percentage of a tax shortfall (a deficit or understatement of tax), resulting from certain actions on the part of a taxpayer.",https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/shortfall-penalty/shortfall-penalty-impositions.html,https://creativecommons.org/licenses/by/4.0/,"audit, clubsociety, company, diplomatic mission, government department, individuals, maori authority, partnership, penalties, super fund, trustestate, unit trust",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/shortfall-penalty/shortfall-penalty-impositions.html,Annual,Audit,06-2007/06-2016,,https://www.classic.ird.govt.nz/resources/c/2/c26fb645-2eb7-4a0d-b0a7-387633af025a/shortfall-penalties-CSV.csv,CSV,,Data in CSV format,https://www.classic.ird.govt.nz/resources/2/8/281bfd20-88e5-40bf-82fe-5a7d96e6350a/shortfall-penalties.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,
Statistics on business operations by region,General Statistics relating to business operations based on region.,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"age, area outside regional councils, auckland, bay of plenty, business, canterbury, family tax credit, far north, gisborne, hawkes bay, manawatuwanganui, marlborough, nelson, northland, otago, regional council, social policy, southland, taranaki, tasman, territorial authorities, unknown location, waikato, wellington, west coast",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/9/1/912094cf-f122-4b28-82dd-9760ddae3449/business-individuals.csv,CSV,,Business individuals,,,,,,,,,,,,,,,,
Statistics on business types by region,General Statistics relating to business types based on region.,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"area outside regional councils, auckland, bay of plenty, business, canterbury, customers, far north, gisborne, hawkes bay, industry, manawatuwanganui, marlborough, nelson, northland, otago, regional council, registered, southland, taranaki, tasman, territorial authorities, unknown location, waikato, wellington, west coast",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/1/9/19516d0e-e65b-497f-b608-5a22667d53b2/businesses.csv,CSV,,Business types by region,,,,,,,,,,,,,,,,
Statistics on entity types by region,General statistics relating to entity types based on region.,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"area outside regional councils, auckland, bay of plenty, canterbury, companies, efiling, entities, far north, gisborne, hawkes bay, manawatuwanganui, maori authorities, marlborough, nelson, northland, otago, partnerships, paye, regional council, societies, southland, taranaki, tasman, territorial authorities, trusts, unknown location, waikato, wellington, west coast",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/4/b/4b8f256d-e209-4ef8-bdde-e7d85e9f4522/entities.csv,CSV,,Entity types,,,,,,,,,,,,,,,,
Statistics on non-business individuals by region,General Statistics relating to non-business operations based on region.,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,https://creativecommons.org/licenses/by/4.0/,"age, area outside regional councils, auckland, bay of plenty, canterbury, child support, family tax credit, far north, gisborne, hawkes bay, manawatuwanganui, marlborough, nelson, nonbusiness, northland, otago, regional council, registered, social policy, southland, student loan, taranaki, tasman, territorial authorities, unknown location, waikato, wellington, west coast",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Annual,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer",04-2015/03-2016,,https://www.classic.ird.govt.nz/resources/c/9/c9735d28-eff6-463a-b50f-b974ce9c1d05/non-business-individuals.csv,CSV,,Data in CSV format,,,,,,,,,,,,,,,,
Student Loan Scheme 2006 Data Tables,"Statistics relating to the Student Loan Scheme, including loan uptake, amount borrowed, loan balance, and repayment.",https://www.educationcounts.govt.nz/publications/80898/2555/5651,https://creativecommons.org/licenses/by/4.0/,"individuals, payments and refunds, student loans",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.educationcounts.govt.nz/publications/80898/2555/5651,Annual,,01-2000/12-2006,,https://www.educationcounts.govt.nz/__data/assets/file/0009/7398/Data-Student-Loan-Scheme-Annual-Report-2006.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Student Loan Scheme 2007 Data Tables,"Statistics relating to the Student Loan Scheme, including loan uptake, amount borrowed, loan balance, and repayment.",https://www.educationcounts.govt.nz/publications/80898/2555/17229,https://creativecommons.org/licenses/by/4.0/,"individuals, payments and refunds, student loans",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.educationcounts.govt.nz/publications/80898/2555/17229,Annual,,01-1993/12-2007,,https://www.educationcounts.govt.nz/__data/assets/excel_doc/0017/17243/Data-Student-Loan-Scheme-Annual-Report-2007.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Student Loan Scheme 2008 Data Tables,"Statistics relating to the Student Loan Scheme, including loan uptake, amount borrowed, loan balance, and repayment.",https://www.educationcounts.govt.nz/publications/80898/2555/33499/2,https://creativecommons.org/licenses/by/4.0/,"individuals, payments and refunds, student loans",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.educationcounts.govt.nz/publications/80898/2555/33499/2,Annual,,01-1994/12-2008,,https://www.educationcounts.govt.nz/__data/assets/excel_doc/0006/43377/Data-Student-Loan-Scheme-Annual-Report-2008.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Student Loan Scheme 2009 Data Tables,"Statistics relating to the Student Loan Scheme, including loan uptake, amount borrowed, loan balance, and repayment.",https://www.educationcounts.govt.nz/publications/80898/2555/58406/2,https://creativecommons.org/licenses/by/4.0/,"individuals, payments and refunds, student loans",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.educationcounts.govt.nz/publications/80898/2555/58406/2,Annual,,01-2000/12-2009,,https://www.educationcounts.govt.nz/__data/assets/excel_doc/0003/63156/SLS-DataTables2009-30112009.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Student Loan Scheme 2011 Data Tables,"Statistics relating to the Student Loan Scheme, including loan uptake, amount borrowed, loan balance, and repayment.",https://www.educationcounts.govt.nz/publications/80898/2555/student-loan-scheme-annual-report-2011,https://creativecommons.org/licenses/by/4.0/,"individuals, payments and refunds, student loans",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.educationcounts.govt.nz/publications/80898/2555/student-loan-scheme-annual-report-2011,Annual,,01-2000/12-2011,,https://www.educationcounts.govt.nz/__data/assets/excel_doc/0017/105551/Student-Loan-Scheme-Data-2011.xls,XLS,,Data in EXCEL format,,,,,,,,,,,,,,,,
Student Loan Scheme 2012 Data Tables,"Statistics relating to the Student Loan Scheme, including loan uptake, amount borrowed, loan balance, and repayment.",https://www.educationcounts.govt.nz/publications/80898/2555/114630,https://creativecommons.org/licenses/by/4.0/,"individuals, payments and refunds, student loans",,,Inland Revenue,,Inland Revenue,,open.data2@ird.govt.nz,https://www.educationcounts.govt.nz/publications/80898/2555/114630,Annual,,01-2000/12-2012,,https://www.educationcounts.govt.nz/__data/assets/excel_doc/0003/114636/Data-Student-Loan-Scheme-Annual-Report-2012.xls,XLS,,Student Loan Scheme 2012 Data Tables,,,,,,,,,,,,,,,,
