title,description,updateFrequency,license,keywords,issued,modified,landingPage,Status,temporal,theme,publisher.name,contactPoint.fn,contactPoint.hasEmail,Notes,distribution.0.title,distribution.0.description,distribution.0.downloadURL,distribution.0.format,distribution.0.size,distribution.1.title,distribution.1.description,distribution.1.downloadURL,distribution.1.format,distribution.1.size,distribution.2.title,distribution.2.description,distribution.2.downloadURL,distribution.2.format,distribution.2.size,distribution.3.title,distribution.3.description,distribution.3.downloadURL,distribution.3.format,distribution.3.size,distribution.4.title,distribution.4.description,distribution.4.downloadURL,distribution.4.format,distribution.4.size,distribution.5.title,distribution.5.description,distribution.5.downloadURL,distribution.5.format,distribution.5.size,distribution.6.title,distribution.6.description,distribution.6.downloadURL,distribution.6.format,distribution.6.size,distribution.7.title,distribution.7.description,distribution.7.downloadURL,distribution.7.format,distribution.7.size,distribution.8.title,distribution.8.description,distribution.8.downloadURL,distribution.8.format,distribution.8.size,distribution.9.title,distribution.9.description,distribution.9.downloadURL,distribution.9.format,distribution.9.size,distribution.10.title,distribution.10.description,distribution.10.downloadURL,distribution.10.format,distribution.11.title,distribution.11.description,distribution.11.downloadURL,distribution.11.format
Percentage of child support payments made by liable parents in full and on time,The percentage of payments made by liable parents in full and on time.,Annual,https://creativecommons.org/licenses/by/4.0/,"Child Support, Payments and Refuds, Individuals",,,https://www.ird.govt.nz/aboutir/external-stats/compliance/cs-payments-made-on-time/,Published,03-2008/03-2017,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Percentage of child support payments made by liable parents in full and on time,,https://www.classic.ird.govt.nz/resources/6/6/66b36a5f-6c3f-4f1d-8881-81952d55992a/payments-full-on-time-liable-parents-17-csv.csv,CSV,1kb,Percentage of child support payments made by liable parents in full and on time,,https://www.classic.ird.govt.nz/resources/9/5/95fe07f5-e989-41cf-a848-ba048c9a478e/payments-full-on-time-liable-parents-17-excel.xlsx,XLSX,17kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional tax statistics 2016,"Included are categories for individuals and non-individual entities. The tables present the data as percentages of appropriate columns in the ""Customers"" table, Regional tax statistics, 'all customers', 'values', 'individuals', 'business individuals', 'non-business individuals', 'entities', 'businesses'    ",Annual,https://creativecommons.org/licenses/by/4.0/,"PAYE, Goods & Services Tax, Income Tax, Imputation Taxes, Withholding Tax, Child Support, Working for Families Tax Credits, Student Loans, Fringe Benefit Tax, Customer, Registration, Payments and Refunds, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",,,https://www.classic.ird.govt.nz/aboutir/external-stats/regional-stats/regional-tax-statistics.html,Published,04-2015/03-2016,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Regional tax statistics 2016,,https://www.classic.ird.govt.nz/resources/2/0/20e0792e-d7c5-479e-9de5-bf8b281763ad/regional-tax-stats-2016.xlsx,XLSX,196kb,All Customers,,https://www.classic.ird.govt.nz/resources/0/3/03ad910f-5339-4ec8-8843-80f0bbc385fb/all_customers.csv,CSV,9kb,Values,,https://www.classic.ird.govt.nz/resources/8/e/8e4392bf-0ce8-4e5c-bd60-2694acf764eb/values.csv,CSV,6kb,Individuals,,https://www.classic.ird.govt.nz/resources/c/e/ce224acd-596b-4212-9415-946216bb58bd/individuals.csv,CSV,11kb,Business individuals,,https://www.classic.ird.govt.nz/resources/9/1/912094cf-f122-4b28-82dd-9760ddae3449/business-individuals.csv,CSV,11kb,Non-business individuals,,https://www.classic.ird.govt.nz/resources/c/9/c9735d28-eff6-463a-b50f-b974ce9c1d05/non-business-individuals.csv,CSV,8kb,Entities ,,https://www.classic.ird.govt.nz/resources/4/b/4b8f256d-e209-4ef8-bdde-e7d85e9f4522/entities.csv,CSV,7kb,Business,,https://www.classic.ird.govt.nz/resources/1/9/19516d0e-e65b-497f-b608-5a22667d53b2/businesses.csv,CSV,12kb,,,,,,,,,,,,,,,,,,
Outcome of cases decided by Disputes Review Unit,The outcomes of adjudication cases decided by the Disputes Review Unit. All cases are split into five categories depending on the degree to which the position of the Commissioner of Inland Revenue (CIR) was upheld.,Annual,https://creativecommons.org/licenses/by/4.0/,"Audit, Penalties, Litigation, Prosecution, Payments and Refunds, Assessment, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",,,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/disputes-review-unit/outcome-of-cases-disputes-review.html,Published,03-2008/03-2017,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Outcome of cases decided by Disputes Review Unit,,https://www.classic.ird.govt.nz/resources/0/1/01300f3d-2f76-44d7-803f-7aef81e9c1e2/Adj+decn+stats+-+2008-2017_csv.csv,CSV,2kb,Outcome of cases decided by Disputes Review Unit,,https://www.classic.ird.govt.nz/resources/3/5/35b302cd-928c-4027-90c6-2f4e54b3d4b5/Adj+decn+stats+-+2008-2017.xls,XLS,35kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortfall penalty impositions ,"The number and value of shortfall penalties in total and by category. A shortfall penalty (SFP) is one imposed as a percentage of a tax shortfall (a deficit or understatement of tax), resulting from certain actions on the part of a taxpayer.  ",Annual,https://creativecommons.org/licenses/by/4.0/,"Audit, Penalties, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",,,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/shortfall-penalty/shortfall-penalty-impositions.html,Published,06-2007/06-2016,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Shortfall penalty impositions ,,https://www.classic.ird.govt.nz/resources/c/2/c26fb645-2eb7-4a0d-b0a7-387633af025a/shortfall-penalties-CSV.csv,CSV,3kb,Shortfall penalty impositions ,,https://www.classic.ird.govt.nz/resources/2/8/281bfd20-88e5-40bf-82fe-5a7d96e6350a/shortfall-penalties.xls,XLS,32kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binding rulings,The number of draft rulings issued that are counted under the timeliness measures and the average time to complete those draft rulings.,Annual,https://creativecommons.org/licenses/by/4.0/,"Audit, Assessment, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Government Department, Unit Trust",,,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/binding-rulings/,Published,06-2009/06-2017,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Binding rulings,,https://www.classic.ird.govt.nz/resources/d/2/d2b8d00c-eb74-40b4-b5e7-9da8ada4ee5a/binding-rulings-csv.csv,CSV,1kb,Binding rulings,,https://www.classic.ird.govt.nz/resources/5/7/5799b830-b554-44e6-a22c-2db9564bf24e/binding-rulings.xls,XLS,24kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of tax convictions ,The total number of tax convictions under the Tax Administration Act 1994 in each calendar year.,Annual,https://creativecommons.org/licenses/by/4.0/,"Audit, Penalties, Litigation, Prosecution, Individuals",,,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/tax-convictions/,Published,03-2007/03-2016,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Number of tax convictions ,,https://www.classic.ird.govt.nz/resources/1/5/15e868fb-ea8c-4c13-ac74-ab9199d5ade8/11.6no-convictions.csv,CSV,2kb,Number of tax convictions ,,https://www.classic.ird.govt.nz/resources/a/1/a11e8cec-bf21-489a-a2d7-e76ef38592d1/11.6no-convictions.xlsx,XLSX,18kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of people convicted under the Tax Administration Act ,The number of people convicted under the Tax Administration Act 1994 in each calendar year. A person may have more than one prosecution in each year.,Annual,https://creativecommons.org/licenses/by/4.0/,"Audit, Penalties, Litigation, Prosecution, Individuals",,,https://www.classic.ird.govt.nz/aboutir/audit-and-legal-issues/convictions-under-tax-act/,Published,03-2007/03-2016,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Number of people convicted under the Tax Administration Act ,,https://www.classic.ird.govt.nz/resources/c/0/c012cea0-865d-456a-aee4-779ebdeb4dd2/11.7no-people-convicted.csv,CSV,2kb,Number of people convicted under the Tax Administration Act ,,https://www.classic.ird.govt.nz/resources/3/c/3ca1048c-e68e-409c-a546-f16556a87725/11.7no-people-convicted.xlsx,XLSX,18kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRD number applications ,This report provides information around IRD number applications by individuals and non-individuals. It includes information around the residency status of applicants and their reasons for applying (If this is for the purpose of purchasing property).,Annual,https://creativecommons.org/licenses/by/4.0/,"Customer, Registration, Individuals, Club/Society, Maori Authority, Company, Partnership, Trust/Estate, Diplomatic mission, Super Fund, Unit Trust ",,,,Published,10-2015/06-2017,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,IRD number applications ,,https://www.classic.ird.govt.nz/resources/8/c/8cb2fd06-3740-4976-b231-a3f92ce9a697/ird-number-applications-jun17.pdf,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unpaid Taxes due to Small Business Liquidations ,Total amount of unpaid taxes due to small business liquidations.,Annual,https://creativecommons.org/licenses/by/4.0/,"Income Tax, Assessment, Penalties, Payments and refunds, Partnership, Company",,,,Published,06-2013/06-2015 ,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Unpaid Taxes due to Small Business Liquidations ,,http://www.classic.ird.govt.nz/resources/6/4/6419f03f-e0d0-4aae-bcac-76c16100331f/download-unpaid-taxes-due-to-small-business-liquidation.xlsx,XLS,,Unpaid Taxes due to Small Business Liquidations ,,https://www.ird.govt.nz/resources/7/a/7af6a117-8d67-4d3d-873f-269e57fa56cc/download-unpaid-taxes-small-business-liquidation.pdf,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inland Revenue Commissioner's Expenses ,Total expenses attributed to Inland Revenue's commissioner ,Annual,https://creativecommons.org/licenses/by/4.0/,"Corporate Data, Financial reports & measures",,,https://www.classic.ird.govt.nz/aboutir/reports/expenses/,Published,07-2015/07-2019,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Commissioner Naomi Ferguson's expenses June 2018,,https://www.classic.ird.govt.nz/resources/b/7/b7ddc35f-0b64-46d7-9169-20034b2df91c/commissioners-expenses-2019-FINAL.xlsx,XLSX,69kb,Commissioner Naomi Ferguson's expenses June 2017,,https://www.classic.ird.govt.nz/resources/d/c/dc27fd38-d7e3-4de1-b54a-2e29fcada02c/commissioners-expenses-july-2017-june-2018.xlsx,XLSX,34kb,Commissioner Naomi Ferguson's expenses June 2016,,https://www.classic.ird.govt.nz/resources/2/4/241989ca-bd8f-47ad-8c1c-35c4ebf8b481/commissioners-expenses-july-2016-june-2017.xlsx,XLSX,27kb,Commissioner Naomi Ferguson's expenses June 2015,,https://www.classic.ird.govt.nz/resources/b/3/b354daad-0283-44b7-9684-89a8b79e902f/commissioners-expenses-july-2015-June-2016.xlsx,XLSX,29kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction and Perceptions survey quarterly results,Quarterly survey results for customer satisfaction and perception of Inland Revenue,Quarterly,https://creativecommons.org/licenses/by/4.0/,"Corporate Data, Customer",,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/,Published,07-2016/06-2019,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,January to March 2019 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-results-jan-mar-19.html,HTML,,October to December 2018 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/customer-satisfaction-results-oct-dec-18.html,HTML,,April to June 2018 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-apr-jun-18.html,HTML,,January to March 2018 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jan-march-18.html,HTML,,October to December 2017 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-oct-dec-17.html,HTML,,July to September 2017 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jul-sep-17.html,HTML,,April to June 2017 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-april-june-17.html,HTML,,January to March 2017 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jan-march-17.html,HTML,,October to December 2016 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-oct-dec-16.html,HTML,,July to September 2016 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jul-sep-16.html,HTML,,,,,,,,,
Customer Satisfaction and Perceptions survey annual results,Annual survey results for customer satisfaction and perception of Inland Revenue,Annual,https://creativecommons.org/licenses/by/4.0/,"Corporate Data, Customer",,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2017-2018.html,Published,07-2017/06-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Annual results July 2017 to June 2018,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-ann-jul-17-jun-18.html,HTML,,Annual results July 2016 to June 2017,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-july-16-june-17.html,HTML,,Annual results July 2015 to June 2016,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-july-15-june-16.html,HTML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Satisfaction and Perceptions survey quarterly results 2015-16,Quarterly survey results for customer satisfaction and perception of Inland Revenue,Quarterly,https://creativecommons.org/licenses/by/4.0/,"Corporate Data, Customer",,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-index-2015-2016.html,Published,07-2015/04-2016,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,April to June 2016 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-apr-june-16.html,HTML,,January to March 2016 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jan-march-16.html,HTML,,October to December 2015 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-oct-dec-15.html,HTML,,July to September 2015 results,,https://www.classic.ird.govt.nz/aboutir/reports/cust-survey/csp-previous-years/customer-satisfaction-results-jul-sep-15.html,HTML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDI Data Dictionary: IR tax data,Documents the content of the datasets the Inland Revenue  provides to Statistics New Zealand to use in the Integrated Data Infrastructure (IDI).,Monthly ,https://creativecommons.org/licenses/by/4.0/,"Customer, PAYE, integrated data infrastructure, curfs, unit record file",30/09/2015,,,Published,,,Stats NZ,Integratred Data team,access2microdata@stats.govt.nz,,IDI Data Dictionary: IR tax data. ISSN 2463-3615 (online),,http://archive.stats.govt.nz/~/media/Statistics/browse-categories/snapshots-of-nz/integrated-data-infrastructure/IDI%20data%20dictionaries/idi-dd-irtax-sep-15.pdf,PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student Loans and Allowances ,"These releases provide information on the different characteristics of student loan borrowers, in terms of personal variables (such as sex and age), and characteristics of their loans (amount borrowed, total debt, and voluntary repayments). ",Annual,https://creativecommons.org/licenses/by/4.0/,"Student Loans , Payments and refunds, Interest, Individuals",,,http://archive.stats.govt.nz/browse_for_stats/education_and_training/Tertiary%20education/StudentLoansandAllowances_HOTP13.aspx,Published,2000/2013,,Stats NZ,InfoCentre,info@stats.govt.nz,Stats NZ no longer publish an information release on student loans and allowances.  See instead: Student loan scheme annual reports on the Education Counts website (https://www.educationcounts.govt.nz/publications/80898/2555),Student Loans and Allowances 2013 ,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP13/sla-2013-tables.xls,XLS,192kb,Student Loans and Allowances 2012,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP12/sla-2012-tables.xls,XLS,76kb,Student Loans and Allowances 2011,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP11/SLA%202011-tables.xls,XLS,180kb,Student Loans and Allowances 2010,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP10/sla-2010-tables-new1.xls,XLS,394kb,Student Loans and Allowances 2009,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP09/Student%20Loans%20and%20Allowances%202009%20-%20Tables.xls,XLS,430kb,Student Loans and Allowances 2008,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP08/sla-08-Tables.xls,XLS,335kb,Student Loans and Allowances 2007,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP07/Student-Loans-and-Allowances-2007-tables115-Excel-277KB.xls,XLS,311kb,Student Loans and Allowances 2006,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP06/sla-06-all-tables_final1.xls,XLS,603kb,Student Loans and Allowances 2005,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/HOTP05/s-l-a-05-all-tables.xls,XLS,399kb,Student Loans and Allowances 1997-2004,,http://archive.stats.govt.nz/~/media/Statistics/Browse%20for%20stats/StudentLoansandAllowances/previous-releases/slb97-04alltables.xls,XLS,309kb,,,,,,,,
"Number of active/provisional KiwiSaver members, by enrolment method","The amount of active/provisional KiwiSaver members, categorised by enrolment method. 								",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of active/provisional KiwiSaver members, by enrolment method",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of contribution holidays, by type","Number of contribution holidays, by type. There are two types of contribution holiday: ordinary which can be granted to any member after 12 months of membership and financial hardship which can be granted earlier for members in financial hardship 								
",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of contribution holidays, by type",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of active/provisional KiwiSaver members, by age","The number of active/provisional KiwiSaver members, by age ",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of active/provisional KiwiSaver members, by age",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of active/provisional KiwiSaver members, by gender","The number of active/provisional KiwiSaver members, by gender ",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of active/provisional KiwiSaver members, by gender",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-active members (closures and opt-outs)									
",The amount of non active members and their status (closed or opt-out) ,Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Non-active members (closures and opt-outs)									
",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Payments from Inland Revenue to KiwiSaver Scheme Providers									
","Payments from Inland Revenue to KiwiSaver Scheme Providers: 1. Figures are gross and do not include payments refunded by providers to Inland Revenue.				2. Figures do not include KiwiSaver contributions held by Inland Revenue.				3. MTC figures represent all MTC paid to KiwiSaver providers. Figures exclude MTC paid to complying funds.	",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Payments and Refunds, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Payments from Inland Revenue to KiwiSaver Scheme Providers									
",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of Contribution Holidays, by Duration									
",The number of contribution holidays categorised by their duration ,Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of Contribution Holidays, by Duration									
",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of active/provisional KiwiSaver members, by scheme entry method","The number of active/provisional KiwiSaver members categorised by scheme entry method. Scheme entry method is the method members have used to enter their current scheme.			
",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of active/provisional KiwiSaver members, by scheme entry method",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of active/provisional KiwiSaver members, by income bracket									
","The amount of active/provisional KiwiSaver members, categorised by income bracket.  1. Income details are for the tax year prior to each financial year. For example		
income details for members as at 30 June 2016 is from the 2015 tax year.		
2. Members with no income are excluded.		
							
",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of active/provisional KiwiSaver members, by income bracket									
",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of closed KiwiSaver Accounts ,"The amount of closed KiwiSaver accounts categoriesed by death, permanent emigration, retirement, serious illness and other.",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,Number of closed KiwiSaver Accounts ,,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of active/provisional KiwiSaver members, by region									
",The amount of active/provisional KiwiSaver members categorised by region,Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of active/provisional KiwiSaver members, by region									
",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KiwiSaver scheme transfers ,"1. Figures do not include transfers within the provisional period.
2. Figures only represent transfers within KiwiSaver schemes, transfers within complying funds are excluded.
3. Figures exclude transfers as a result of scheme mergers. ",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Enrolment, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,KiwiSaver scheme transfers ,,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of KiwiSaver Fund Withdrawals, by withdrawal reason","The number of KiwiSaver fund withdrawals categorised by withdrawal reason. 1. Figures are what has been provided by Scheme Providers to Inland Revenue and may not be 100% of all fund withdrawals.				
",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Payments and Refunds, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Number of KiwiSaver Fund Withdrawals, by withdrawal reason",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amount of KiwiSaver funds withdrawn, by withdrawal reason ","The amount of KiwiSaver funds withdrawn, by withdrawal reason. 1. Figures are what has been provided by Scheme Providers to Inland Revenue and may not be 100% of all fund withdrawals.	",Annual,https://creativecommons.org/licenses/by/4.0/,"KiwiSaver , Payments and Refunds, Individuals",,,https://www.kiwisaver.govt.nz/statistics/annual/,Published,03-2009/03-2018,,Inland Revenue,Open Data enquiry,open.data2@ird.govt.nz,,"Amount of KiwiSaver funds withdrawn, by withdrawal reason ",,http://www.kiwisaver.govt.nz/resources/c/4/c4453c804172d32dbc34fe6fe0111a70/Annual+-+Data.xls,XLS,48kb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
